ProbeName,GSM1149106_M_Ns3.txt:gProcessedSignal(normalized),GSM1149107_M_Ns4.txt:gProcessedSignal(normalized),GSM1149108_M_Ns5.txt:gProcessedSignal(normalized),GSM1149109_M_Ns6.txt:gProcessedSignal(normalized),GSM1149110_M_Ns7.txt:gProcessedSignal(normalized),GSM1149111_M_Ns8.txt:gProcessedSignal(normalized),GSM1149112_M_Ns9.txt:gProcessedSignal(normalized),GSM1149113_M_Ns10.txt:gProcessedSignal(normalized),GSM1149114_M_Ns11.txt:gProcessedSignal(normalized),GSM1149115_M_Ns12.txt:gProcessedSignal(normalized),GSM1149116_M_Ns13.txt:gProcessedSignal(normalized),GSM1149117_M_Ns14.txt:gProcessedSignal(normalized),GSM1149118_M_Sm1.txt:gProcessedSignal(normalized),GSM1149119_M_Sm2.txt:gProcessedSignal(normalized),GSM1149120_M_Sm3.txt:gProcessedSignal(normalized),GSM1149121_M_Sm4.txt:gProcessedSignal(normalized),GSM1149122_M_Sm5.txt:gProcessedSignal(normalized),GSM1149123_M_Sm6.txt:gProcessedSignal(normalized),GSM1149124_M_Sm8.txt:gProcessedSignal(normalized),GSM1149125_M_Sm9.txt:gProcessedSignal(normalized),GSM1149126_M_Sm10.txt:gProcessedSignal(normalized),GSM1149127_M_SM11.txt:gProcessedSignal(normalized),GSM1149128_M_Sm12.txt:gProcessedSignal(normalized),GSM1149129_M_Sm13.txt:gProcessedSignal(normalized),GSM1149130_F_Ns1.txt:gProcessedSignal(normalized),GSM1149131_F_Ns3.txt:gProcessedSignal(normalized),GSM1149132_F_Ns5.txt:gProcessedSignal(normalized),GSM1149133_F_Ns6.txt:gProcessedSignal(normalized),GSM1149134_F_Ns7.txt:gProcessedSignal(normalized),GSM1149135_F_Ns8.txt:gProcessedSignal(normalized),GSM1149136_F_Ns9.txt:gProcessedSignal(normalized),GSM1149137_F_Ns10.txt:gProcessedSignal(normalized),GSM1149138_F_Ns11.txt:gProcessedSignal(normalized),GSM1149139_F_Ns12.txt:gProcessedSignal(normalized),GSM1149140_F_Ns13.txt:gProcessedSignal(normalized),GSM1149141_F_Ns14.txt:gProcessedSignal(normalized),GSM1149142_F_Sm1.txt:gProcessedSignal(normalized),GSM1149143_F_Sm2.txt:gProcessedSignal(normalized),GSM1149144_F_Sm3.txt:gProcessedSignal(normalized),GSM1149145_F_Sm4.txt:gProcessedSignal(normalized),GSM1149146_F_Sm5.txt:gProcessedSignal(normalized),GSM1149147_F_Sm6.txt:gProcessedSignal(normalized),GSM1149148_F_Sm7.txt:gProcessedSignal(normalized),GSM1149149_F_Sm8.txt:gProcessedSignal(normalized),GSM1149150_F_Sm9.txt:gProcessedSignal(normalized),GSM1149151_F_Sm10.txt:gProcessedSignal(normalized),GSM1149152_F_Sm11.txt:gProcessedSignal(normalized),GSM1149153_F_Sm12.txt:gProcessedSignal(normalized),GeneSymbol,EntrezGeneID,Go
A_23_P111020,6.274315,6.9729548,7.0778346,7.1448975,6.687301,6.6990104,7.1440425,6.9888706,6.982188,6.8590617,6.8847213,6.8367295,6.4705925,6.2558613,7.004371,7.015986,5.9126377,6.96672,6.6317124,6.68383,6.539367,6.7117014,6.874584,6.677877,6.0828247,5.9943113,6.456791,5.794526,6.66036,6.685154,6.9899364,7.0910726,6.724407,6.7079196,7.0400004,6.437464,6.3416557,6.5951357,6.9485264,7.055814,6.7815857,6.7157865,6.564773,6.496257,6.8390193,7.1686726,6.7198873,6.7515626,SRF,6722.0,GO:0005515|GO:0000790|GO:0003700|GO:0006366|GO:0000983|GO:0003705|GO:0045597|GO:0010736|GO:0010735|GO:0030155|GO:0031175|GO:0042803|GO:0007507|GO:0001947|GO:0022028|GO:0048589|GO:0010669|GO:0042789|GO:0046016|GO:0008306|GO:0030336|GO:0001707|GO:0007616|GO:0045214|GO:0009636|GO:0030168|GO:0000978|GO:0031490|GO:0035855|GO:0033561|GO:0043589|GO:0008134|GO:0030038|GO:0035912|GO:0008285|GO:0043149|GO:0045773|GO:0002042|GO:0005634|GO:0046716|GO:0005737|GO:0045987|GO:0045944|GO:0009725|GO:0034097|GO:0030220|GO:0001666|GO:0001569|GO:0002011|GO:0001228|GO:0001829|GO:0045059|GO:0021766|GO:0001077|GO:0001076|GO:0007160|GO:0001764|GO:0003257
A_24_P926770,7.4746714,7.6235003,7.720977,8.082088,8.051618,7.837849,7.911806,8.179203,7.94917,7.724505,7.7403173,7.7901545,7.386649,7.4279137,7.9595375,8.454569,7.2776194,8.029506,7.429095,7.7762327,7.6067185,7.6195903,7.945467,7.626024,7.3119574,7.354211,7.053828,7.292455,7.788814,7.605459,7.9438286,7.631584,7.6991997,7.7205057,7.8487964,7.7622523,7.794501,8.101592,7.9885025,8.416295,7.941061,8.023154,7.7038155,7.530876,7.587481,8.019149,7.7951865,7.9544735,LRP10,26020.0,GO:0005905|GO:0016020|GO:0016021|GO:0006897
A_23_P145024,11.56187,11.799589,11.227537,10.797735,11.376524,11.506655,12.2458935,11.970752,10.821959,11.541778,10.678033,12.220831,10.72052,11.032627,11.897025,11.9912815,10.671284,11.309596,12.48481,11.629007,12.574696,12.152399,14.209909,12.324168,10.99955,10.884697,11.305104,11.425657,10.646649,11.912872,11.973468,12.674359,11.909377,11.370223,12.728251,11.981989,10.779664,11.06353,11.607806,10.709922,10.568715,12.16402,10.723285,11.518729,11.389223,11.400628,10.5006895,11.857707,ADRB2,154.0,GO:0005515|GO:0005886|GO:0045453|GO:0004941|GO:0009409|GO:0002024|GO:0002025|GO:0015459|GO:0005634|GO:0005764|GO:0042803|GO:0051380|GO:0042312|GO:0007190|GO:0031649|GO:0007171|GO:0016324|GO:0045986|GO:0040015|GO:0045944|GO:0031398|GO:0030501|GO:0008179|GO:0008333|GO:0006898|GO:0002032|GO:0043235|GO:0050873|GO:0005887|GO:0002028|GO:0071875|GO:0007188|GO:0007189|GO:0043410|GO:0007166|GO:0005768
A_24_P910381,6.558103,6.0410585,4.1440544,5.2868557,5.3519616,4.442767,6.4380646,7.6592097,6.069719,5.9327683,5.654378,5.675216,4.3221684,3.7700825,5.144388,6.0373583,3.1182535,4.9574156,7.739352,6.067164,7.0847607,6.1943636,6.002053,5.994911,4.456245,3.353189,3.8716958,3.3442078,4.6392083,6.533953,5.451752,6.7243705,6.209668,6.6220956,5.185818,4.270618,3.3951316,6.3408394,7.588963,6.0338845,5.8135357,6.7529144,6.99812,6.333331,7.0345426,7.0407133,6.098398,7.8289866,,,
A_24_P489105,4.3451357,4.874504,4.7572074,5.002372,4.677492,4.203278,5.9631085,5.8954306,5.6341367,5.287425,5.401013,5.456203,3.9899166,4.1006637,4.7545557,4.8721323,3.7295377,4.7562013,4.9080563,5.0823975,5.0705075,4.9450116,5.41917,5.4949274,3.3535857,0.13921283,2.798913,4.304983,4.464199,5.480232,5.5454473,5.6185536,5.309073,5.1047735,5.524127,4.8361516,4.2958574,4.697531,4.9548903,4.5711236,4.857835,5.5562305,5.2139583,5.37067,5.439827,5.779981,5.533918,5.4475355,LOC102724185,102724185.0,
A_24_P397204,6.0133204,6.671994,6.3416805,6.6178474,6.2140236,6.0271573,7.341273,6.988561,6.9756784,6.9678903,7.3918853,6.795633,5.6995125,5.7656226,6.3522453,6.514541,6.33472,6.068639,6.8787785,7.141681,7.207706,7.1754766,6.9917936,6.8900623,5.678627,3.798547,4.6936526,5.935029,5.9918137,6.987136,6.8651443,7.1638913,6.7327046,6.689674,7.0931587,6.8008246,6.1274734,6.4898195,6.608365,6.303754,6.3430524,7.16318,6.9970303,7.049194,7.1789804,7.5561953,7.4008737,7.683121,,,
A_24_P876152,7.3714414,3.0118248,3.2282777,0.70016885,3.1513877,2.15961,3.0488448,3.368661,2.3268206,0.0,2.1453075,3.1246254,0.7559054,2.5500636,2.2912073,0.9681947,2.7873318,2.4719236,2.4135332,0.0,0.9304573,0.0,3.043044,2.4193084,0.0,3.3161216,0.0,0.0,2.6883368,1.4293354,2.959729,0.0,0.9152524,1.5755264,1.3688035,2.7599337,2.4228559,3.2857695,2.7858636,2.9284167,2.5426939,2.55631,0.0,2.3634684,0.6575787,2.7699084,0.8869582,6.0028176,,,
A_24_P7232,6.3378468,5.3137727,5.8946524,5.6980767,5.7942677,5.8321643,6.337302,6.137993,6.1114497,5.98633,5.9333797,6.1346693,5.4673805,5.306293,6.0618367,6.2408795,6.1740603,6.0330973,5.8071904,5.416214,6.023757,5.4952784,6.108916,5.9311643,5.607764,5.0820045,4.6588974,5.2520256,5.7103014,5.664205,6.2397237,5.9884496,5.844916,6.0511675,6.0220885,5.9386306,5.68002,6.144477,5.65183,5.833439,6.1209865,6.249078,5.9571624,5.8372974,5.98553,6.5883107,5.7190866,6.557384,FAM65A,79567.0,GO:0008150|GO:0003674|GO:0005737|GO:0070062
A_23_P129225,7.0401373,0.0,3.375166,2.3603055,2.1611905,1.5861882,3.3124897,2.107119,1.628426,2.646195,2.5265846,2.4644918,2.2968614,0.0,0.0,2.3000162,2.340634,0.783595,2.614378,3.8195896,3.6186426,2.904036,1.7918144,2.4350908,1.7298526,0.0,0.0,2.2231934,0.0,2.8701508,2.246362,2.1146772,1.4594443,1.7055684,0.23931488,0.0,3.0859482,5.240179,0.0,1.6397026,2.1708293,2.5218327,1.7039976,3.2825203,3.364149,3.1784303,2.9518878,5.813808,TRPM1,4308.0,GO:0005262|GO:0060402|GO:0005886|GO:0046548|GO:0007216|GO:0071482|GO:0055085|GO:0034220|GO:0005887|GO:0035841|GO:0006810|GO:0070588|GO:0007601
A_24_P192556,7.5999084,7.7600636,7.246844,7.368845,7.529655,7.208338,8.187761,8.0353985,7.9368668,7.969141,8.167842,7.847145,7.0210032,7.040592,7.5343165,7.6642075,7.3742,7.2854295,7.35133,7.6620746,7.3737116,7.670871,7.9958544,8.001005,6.825422,5.446893,6.410813,7.1609807,7.3177814,7.9803934,7.707989,8.09788,7.9321976,7.901811,8.150545,7.753584,7.4226604,7.362533,7.590827,7.3670816,7.498112,7.7721252,7.9631305,7.8263345,7.8736362,8.4661665,7.952766,8.079922,TOR2A,27433.0,GO:0005179|GO:0051085|GO:0005788|GO:0051260|GO:0005576|GO:0005524
